years,month,sinkholes,level,algas,Cirsium,Dasylirion,Distichlis,Erigeron,Eustoma,Flaveria,Haploestes,nada,Nerysirenia,Polygala,Prosopis,Sabatia,Samolus,Schoenus,Sesuvium,Sporobolus,Total general
2009,ene,7.3,(en blanco),,,,1.024947,,,0,,,,,,,0.00816816,,,,1.03311516
2009,ene,7.4,0,,,,,,,,,,,,,,,0.0027489,,,0.0027489
2009,ene,7.4,(en blanco),,,,0,,,,,,,,,,,,,,0
2009,ene,8.1,0,,,,,,,0,,,,,,,,,,,0
2009,ene,8.1,(en blanco),,,,,,,,,,,,,,,0,,,0
2009,ene,8.2,5,,,,,,,0,,,,,,,,,,,0
2009,ene,8.3,2,,,,,,,,,,,,,,,0.00007854,,,0.00007854
2009,ene,1.1O,20,,,,,,,,,,,,,,0.00565488,,,,0.00565488
2009,ene,1.1OO,0,,,,,,,,,,,,,,0.0054978,,,,0.0054978
2009,ene,1.1OO,(en blanco),,,,7.85E-07,,,,,,,,,,0.000007854,,,,8.64E-06
2009,ene,1.2O,0,,,,,,,,,,,,,,0.0361284,,,,0.0361284
2009,ene,1.2O,(en blanco),,,,,,,0,,,,,,,0.00219912,,,,0.00219912
2009,ene,1.3O,7,,,,,,,,,,,,,,0.0047124,,,,0.0047124
2009,ene,1.3O,(en blanco),,,,,,,,,,,,,,0.00298452,,,,0.00298452
2009,ene,1.4O,12,,,,,,,,,,,,,,,0.0035343,,,0.0035343
2009,ene,1.4O,(en blanco),,,,7.85E-07,,,,,,,,,,6.28E-06,7.85E-07,,,0.000007854
2009,ene,1.5O,0,,,,,,,,,,,,,,,4.47960744,,,4.47960744
2009,ene,1.5O,(en blanco),,,,,,,,,,,,,,7.85E-07,,,,7.85E-07
2009,ene,1.6O,0,,,,,,,,,,,,,,0.01209516,,,,0.01209516
2009,ene,1.6O,(en blanco),,,,,,,,,,,,,,0.000003927,,,,0.000003927
2009,ene,1.7O,15,,,,,,,,,,,,,,0.0011781,,,,0.0011781
2009,ene,1.7O,(en blanco),,,,7.85E-07,,,0.00251328,,,,,,,0.029309557,,,,0.031823623
2009,ene,1.8O,0,,,,,,,,,,,,,,0.0070686,,,,0.0070686
2009,ene,1.9O,0,,,,,,,,,,,,,,0.0015708,,,,0.0015708
2009,ene,1.9O,(en blanco),,,,,,,,,,,,,,0.001573156,,,,0.001573156
2009,ene,2.1O,0,,,,,,,,,,,,,,0.00047124,,,,0.00047124
2009,ene,2.2O,24,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,2.2O,(en blanco),,,,,,,,,,,,,,0.012022118,,,,0.012022118
2009,ene,4.1O,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,6.1O,0,,,,,,,,,,,,,,0.00636174,,,,0.00636174
2009,ene,6.1O,(en blanco),,,,0,,,,,,,,,,0.004713971,,,,0.004713971
2009,ene,80A,0,,,,,,,,,,,,,,0.01225224,,,,0.01225224
2009,ene,80A,(en blanco),,,,,,,,,,,,,,0.00031416,,,,0.00031416
2009,ene,81B,0,,,,0.0541926,,,,,,,,,,,,,,0.0541926
2009,ene,81B,(en blanco),,,,,,,0,,,,,,,0.007698491,,,,0.007698491
2009,ene,82C,0,,,,,,,,,,,,,,0.00502656,,,,0.00502656
2009,ene,82C,(en blanco),,,,,,,,,,,,,,0.002122151,,,,0.002122151
2009,ene,83D,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,83D,(en blanco),,,,,,,,,,,,,,7.85E-07,,,,7.85E-07
2009,ene,84E,0,,,,,,,,,,,,,,0.0019635,,,,0.0019635
2009,ene,84E,(en blanco),,,,,,,,,,,,,,0.0208131,,,,0.0208131
